,Unnamed: 0,Hashtag,1,2,3,4,5,6,7,8,9,10,Source,id,topk,mutlitoken,charner,answer,annotator,annotation_id,created_at,updated_at,lead_time,Final Segmentation,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
563,572,realmadridalaves,realmadridalaves,realmadridalave s,r ealmadridalaves,real madridalaves,realmadridalav es,re almadridalaves,realm adridalaves,rea lmadridalaves,realmadridala ves,realmadridal aves,roman,230490,None,Hashtag has named entities,"[{""start"": 0, ""end"": 4, ""text"": ""real"", ""labels"": [""Named Entity""]}, {""start"": 4, ""end"": 10, ""text"": ""madrid"", ""labels"": [""Named Entity""]}, {""start"": 10, ""end"": 16, ""text"": ""alaves"", ""labels"": [""Named Entity""]}]",real madrid alaves,1,2003,2021-12-30T16:10:25.223898Z,2021-12-30T16:10:25.223944Z,37.195,real madrid alaves,realmadridalaves,real madrid alaves,realmad ridalaves,re al madrid alaves,realma dridalaves,realmadrid alaves,real madridalaves,rea lmadrid alaves,realmadri dalaves,real mad ridalaves
564,573,arshikhan,arshi khan,arshikhan,arshikh an,a rshikhan,arshikha n,ar shikhan,arshik han,ars hi khan,arsh i khan,ars hikhan,roman,230488,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""arshi"", ""labels"": [""Named Entity""]}, {""start"": 5, ""end"": 9, ""text"": ""khan"", ""labels"": [""Named Entity""]}]",arshikhan,1,1162,2021-12-16T16:08:07.261754Z,2021-12-16T16:08:07.261816Z,7.902,arshi khan,arshikhan,ar shikhan,a r shi khan,ar shi khan,arshi khan,a r shikhan,arsh ikhan,arshik han,a rshi khan,a rshikhan
565,574,veham,ve ham,veham,ve ha m,veh am,veha m,v e ham,ve h am,v eham,v e ha m,v eh am,roman,230487,$2,Hashtag has non english token ,None,veham,1,1161,2021-12-16T16:07:57.292961Z,2021-12-16T16:07:57.293023Z,6.243,veham,veham,v eham,veha m,v e h a m,ve h am,veh am,ve ham,v e ham,v e ha m,veh a m
566,575,17yearsofnayanism,17yearsofnayanism,17yearsofnayanis m,1 7yearsofnayanism,17 yearsofnayanism,17yearsofnayani sm,17yearsofnayan ism,17yearsofnayan is m,17years ofnayanism,17yearsofnayani s m,17year sofnayanism,roman,230486,None,None,None,17 years of nayanism,1,2001,2021-12-30T16:09:08.320929Z,2021-12-30T16:09:08.320975Z,26.002,17 years of nayanism,17 years of nayanism,17 years of na yanism,17 years of n ayanism,1 7 years of nayanism,17years of nayanism,17 years ofnayanism,17 years of nayanis m,17 years of nayan ism,17 years o f nayanism,17 years of nay anism
567,576,udhayanidhistalin,udhayanidhi stalin,udhayanidhistalin,udhayanidhistal in,udhayanidhistali n,u dhayanidhistalin,udhayanidhista lin,ud hayanidhistalin,udhayanidhist alin,udhayanidhista l in,udhayanidhis talin,roman,230485,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 11, ""text"": ""udhayanidhi"", ""labels"": [""Named Entity""]}, {""start"": 11, ""end"": 17, ""text"": ""stalin"", ""labels"": [""Named Entity""]}]",udhayanidhistalin,1,2000,2021-12-30T16:08:38.625001Z,2021-12-30T16:08:38.625046Z,46.377,udhayanidhi stalin,udhayanidhistalin,udhayanidhi stalin,udhayan idhistalin,udhaya nidhi stalin,udhayani dhi stalin,udhayani dhistalin,u dhayanidhi stalin,u dhayani dhistalin,u dhayanidhistalin,udhayanidhis talin
568,577,happybirthdayyuvrajsingh,happybirthdayyuvrajsingh,happy birthday yuvraj singh,happy birth day yuvraj singh,happybirth day yuvraj singh,happybirthdayyuvraj singh,happybirthday yuvraj singh,happybirthdayyuvrajsing h,ha ppybirthdayyuvrajsingh,happybirthday yuvrajsingh,h appybirthdayyuvrajsingh,roman,230483,$2,Hashtag has named entities,"[{""start"": 13, ""end"": 19, ""text"": ""yuvraj"", ""labels"": [""Named Entity""]}, {""start"": 19, ""end"": 24, ""text"": ""singh"", ""labels"": [""Named Entity""]}]",happybirthdayyuvrajsingh,1,1999,2021-12-30T16:07:49.621129Z,2021-12-30T16:07:49.621177Z,26.795,happy birthday yuvraj singh,happy birthday yuvraj singh,happy birthday yuvra j singh,happy birthday yuvrajsingh,happy birthdayyuvraj singh,happy birthday yuvraj sin gh,happy birthday yuvra jsingh,happy birthday yuv rajsingh,happy birthday yuv raj singh,happy birthdayyuvra jsingh,happy birthdayyuv rajsingh
569,578,lucifer,lucifer,luci fer,lucife r,lu cifer,lucif er,l ucifer,luc ifer,luc if er,luci f er,l u cifer,roman,230481,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""lucifer"", ""labels"": [""Named Entity""]}]",lucifer,1,1998,2021-12-30T16:07:19.434903Z,2021-12-30T16:07:19.434946Z,10.296,lucifer,lucifer,lucife r,luci fer,luc if er,luci f er,lu cifer,lucif er,l ucifer,luc ifer,l u cifer
570,579,inforindia,inforindia,in for india,infor india,inforindi a,in forindia,inf or india,in f or india,i nforindia,info rindia,info r india,roman,230480,$2,Hashtag has named entities,"[{""start"": 5, ""end"": 10, ""text"": ""india"", ""labels"": [""Named Entity""]}]",inforindia,1,1997,2021-12-30T16:07:07.421541Z,2021-12-30T16:07:07.421589Z,16.625,in for india,in for india,infor india,inf orindia,in f or india,inf or india,inforindia,in forindia,info rindia,i n for india,info r india
571,580,justiceforaishwarya,justiceforaishwarya,justiceforaishwary a,justice for aishwarya,just iceforaishwarya,justiceforaishwar ya,j usticeforaishwarya,justice foraishwarya,justiceforaishw arya,ju sticeforaishwarya,justicefor aishwarya,roman,230478,$3,Hashtag has named entities,"[{""start"": 10, ""end"": 19, ""text"": ""aishwarya"", ""labels"": [""Named Entity""]}]",justiceforaishwarya,1,1996,2021-12-30T16:06:45.639984Z,2021-12-30T16:06:45.640033Z,13.277,justice for aishwarya,justice for aishwarya,justice for a ishwarya,justice forai shwarya,justiceforaishwarya,justice foraishwarya,justicefor aishwarya,justicef or aishwarya,justice for ai shwarya,justiceforai shwarya,justicefora ishwarya
572,581,covid19uk,covid19uk,covid19 uk,covid 19 uk,covid19u k,c ovid19uk,co vid19uk,covid19 u k,covid 19uk,covid 19 u k,cov id19uk,roman,230476,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""covid19"", ""labels"": [""Named Entity""]}, {""start"": 7, ""end"": 9, ""text"": ""uk"", ""labels"": [""Named Entity""]}]",covid19uk,1,1160,2021-12-16T16:07:47.693222Z,2021-12-16T16:07:47.693273Z,7.997,covid19 uk,covid 19 uk,covid19uk,co vid 19 uk,cov id 19 uk,covid 19uk,covid19 uk,covid 19 u k,co vid19 uk,co vid 19uk,covi d19uk
573,582,eijazkhan,eijaz khan,eijazkhan,e ijaz khan,eijazkh an,e ijazkhan,eijazkha n,eijazk han,ei jazkhan,eija z khan,eij azkhan,roman,230475,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""eijaz"", ""labels"": [""Named Entity""]}, {""start"": 5, ""end"": 9, ""text"": ""khan"", ""labels"": [""Named Entity""]}]",eijazkhan,1,1159,2021-12-16T16:07:37.633788Z,2021-12-16T16:07:37.633846Z,7.855,eijaz khan,eijaz khan,ei jaz khan,e i jazkhan,e i j azkhan,eijazkhan,ei jazkhan,e ijazkhan,eija zkhan,eij azkhan,eija z khan
574,584,shamelesskavita,shamelesskavita,shameless kavita,shamelesskavit a,shame less kavita,s hamelesskavita,shamelesskavi ta,shameless kavi ta,shame lesskavita,shamelesska vita,shamelesskav ita,roman,230473,$2,Hashtag has named entities,"[{""start"": 9, ""end"": 15, ""text"": ""kavita"", ""labels"": [""Named Entity""]}]",shamelesskavita,1,1157,2021-12-16T16:07:21.786634Z,2021-12-16T16:07:21.786687Z,4.689,shameless kavita,shameless kavita,shamelesska vita,shameless k avita,shamelessk avita,shame less kavita,shamelesskavita,shameless ka vita,shameless kav ita,shameless kavit a,shamelesskav ita
575,585,nehakakkarpregnant,nehakakkarpregnant,nehakakkar pregnant,neha kakkar pregnant,nehakakkarpregnan t,ne hakakkarpregnant,n ehakakkarpregnant,nehakakkarpregn ant,neh akakkarpregnant,nehakakkarpregna nt,neha kakkarpregnant,roman,230472,$3,Hashtag has named entities,"[{""start"": 0, ""end"": 4, ""text"": ""neha"", ""labels"": [""Named Entity""]}, {""start"": 4, ""end"": 10, ""text"": ""kakkar"", ""labels"": [""Named Entity""]}]",nehakakkarpregnant,1,1156,2021-12-16T16:07:14.800294Z,2021-12-16T16:07:14.800342Z,9.753,neha kakkar pregnant,neha kakkar pregnant,neha kak kar pregnant,ne hakakkar pregnant,neh aka kkar pregnant,nehak akkar pregnant,nehakakkar pregnant,ne ha kakkar pregnant,ne hak akkar pregnant,ne haka kkar pregnant,ne hakak kar pregnant
576,586,1weekformyntraeors,1weekformyntraeors,1weekformyntraeor s,1 weekformyntraeors,1weekformyntraeo rs,1weekformyntrae ors,1weekformyntraeo r s,1weekformyntrae or s,1w eekformyntraeors,1week formyntraeors,1 week formyntraeors,roman,230471,None,Hashtag has named entities,"[{""start"": 8, ""end"": 14, ""text"": ""myntra"", ""labels"": [""Named Entity""]}, {""start"": 14, ""end"": 18, ""text"": ""eors"", ""labels"": [""Named Entity""]}]",1 week for myntra eors,1,1155,2021-12-16T16:07:02.948739Z,2021-12-16T16:07:02.948791Z,33.209,1 week for myntra eors,1 week for myntraeors,1 week for myntra eors,1 weekformyntraeors,1week for myntraeors,1 week formyntraeors,1 week for my ntraeors,1weekformyntraeors,1 week for myntrae ors,1 week for my n traeors,1week formyntraeors
577,589,nandigramdibas,nandigramdibas,nandigramdib as,nandigramdiba s,nandigramdi bas,na ndigramdibas,n andigramdibas,nan digramdibas,nandigram di bas,nandigram dibas,nandi gramdibas,roman,230467,$9,Hashtag has named entities,"[{""start"": 0, ""end"": 9, ""text"": ""nandigram"", ""labels"": [""Named Entity""]}]",nandigramdibas,1,1151,2021-12-16T16:05:43.380729Z,2021-12-16T16:05:43.380790Z,13.472,nandigram dibas,nandigram dibas,nandi gramdibas,nandigramdib as,n andigram dibas,nandigramdibas,nandigram di bas,nandigram dib as,nandigramdi bas,nandigramd ibas,nandigram d ibas
578,590,chhathsongsbysdf,chhathsongsbysdf,chhathsongsbysd f,c hhathsongsbysdf,ch hathsongsbysdf,chha thsongsbysdf,chhathsongsbys df,chhathsongsby sdf,chhath songsbysdf,chh athsongsbysdf,chha t hsongsbysdf,roman,230466,None,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""chhath"", ""labels"": [""Named Entity""]}, {""start"": 13, ""end"": 16, ""text"": ""sdf"", ""labels"": [""Named Entity""]}]",chhath songs by sdf,1,1150,2021-12-16T16:05:27.640004Z,2021-12-16T16:05:27.640056Z,35.97,chhath songs by sdf,ch hath songs by sdf,chhath songs by sdf,ch hathsongsbysdf,chhathsongs bysdf,chhathsongsbysdf,chhathsongs by sdf,ch hath songs bysdf,chhat hsongs by sdf,chhat hsongsbysdf,chhath songs bysdf
579,591,nationalcrushrashmika,nationalcrushrashmika,nationalcrushrashmik a,na tionalcrushrashmika,nationalcrushrashmi ka,national crushrashmika,n ationalcrushrashmika,nationalcrushrash mika,nation alcrushrashmika,nat ionalcrushrashmika,nationalcrushrashm ika,roman,230465,None,Hashtag has named entities,"[{""start"": 13, ""end"": 21, ""text"": ""rashmika"", ""labels"": [""Named Entity""]}]",national crush rashmika,1,1149,2021-12-16T16:04:46.925771Z,2021-12-16T16:04:46.925810Z,15.769,national crush rashmika,national crush rash mika,national crushrashmika,national crushra shmika,nationalcrush rashmika,national crushr ashmi ka,national crush rashmika,national crushr ashmika,national crushrash mika,national crush r ashmika,nationalcrushrashmika
580,592,jalaramjayanti,jalaram jayanti,jalaramjayanti,jalaramjayant i,jalaramjay anti,j alaramjayanti,ja laramjayanti,jalaramjayan ti,jal aramjayanti,jala ramjayanti,jalaramjaya nti,roman,230464,$1,"{""choices"": [""Hashtag has non english token "", ""Hashtag has named entities""]}","[{""start"": 0, ""end"": 7, ""text"": ""jalaram"", ""labels"": [""Named Entity""]}]",jalaramjayanti,1,1148,2021-12-16T16:04:28.027811Z,2021-12-16T16:04:28.027844Z,13.362,jalaram jayanti,jalaram jayanti,jalaramjay anti,jalaram jayant i,jalaram ja yanti,jalara mjayanti,jalaramjayanti,j alaram jayanti,jalaram jayan ti,jalaramjayant i,j alaramjayanti
581,593,socialupliftment,social upliftment,socialupliftment,socialupliftmen t,so cialupliftment,s ocialupliftment,socialupliftme nt,socialupliftm ent,soc ialupliftment,socialuplift ment,social uplift ment,roman,230463,$1,None,None,socialupliftment,1,1147,2021-12-16T16:04:12.101631Z,2021-12-16T16:04:12.101700Z,3.408,social upliftment,social upliftment,social uplift ment,social uplift m ent,soc ial upliftment,socialupliftment,social upliftmen t,social uplift men t,s ocial upliftment,social upliftm ent,social up liftment
582,594,cryliv,cryliv,cry liv,cryli v,cryl iv,c ryliv,cry l i v,cr yliv,cry li v,cry l iv,cryl i v,roman,230462,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 3, ""text"": ""cry"", ""labels"": [""Named Entity""]}, {""start"": 3, ""end"": 6, ""text"": ""liv"", ""labels"": [""Named Entity""]}]",cryliv,1,1146,2021-12-16T16:04:06.495689Z,2021-12-16T16:04:06.495762Z,11.126,cry liv,cryliv,cry li v,cr yliv,cr y liv,cryl iv,cry liv,cryli v,cry l iv,cry l i v,c ryliv
583,595,sundaysongbook,sundaysongbook,sunday songbook,sunday song book,sundaysong book,sundaysongboo k,s undaysongbook,sundaysongbo ok,sun daysongbook,su ndaysongbook,sun day songbook,roman,230461,$3,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""sunday"", ""labels"": [""Named Entity""]}]",sundaysongbook,1,1145,2021-12-16T16:03:53.261472Z,2021-12-16T16:03:53.261537Z,8.044,sunday song book,sunday songbook,sundays on gbook,sun day song book,sundaysong book,sun daysongbook,sunday song book,sundaysongbook,sun day songbook,sunday son gbook,sun daysong book
584,596,yamigautam,yami gautam,yamigautam,yamigauta m,yamigaut am,y amigautam,ya migautam,yamigau tam,yam igautam,y ami gautam,ya mi gautam,roman,230460,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 4, ""text"": ""yami"", ""labels"": [""Named Entity""]}, {""start"": 4, ""end"": 10, ""text"": ""gautam"", ""labels"": [""Named Entity""]}]",yamigautam,1,1144,2021-12-16T16:03:42.814864Z,2021-12-16T16:03:42.814919Z,7.549,yami gautam,yami gautam,ya migautam,ya mi gautam,y amigautam,y am i gautam,y ami gautam,yamigautam,yam i gautam,y ami ga utam,y amiga utam
585,597,gonechristmasfishing,gonechristmasfishing,gonechristmasfishin g,gonechristmas fishing,go nechristmasfishing,g onechristmasfishing,gonechristmasfishi ng,gonechristmasfish ing,gone christmasfishing,gon echristmasfishing,gonechristmasfi shing,roman,230459,None,Hashtag has named entities,"[{""start"": 4, ""end"": 13, ""text"": ""christmas"", ""labels"": [""Named Entity""]}]",gone christmas fishing,1,1143,2021-12-16T16:03:33.268236Z,2021-12-16T16:03:33.268296Z,16.438,gone christmas fishing,gone christmas fishing,gone christmasfishing,g on e christmas fishing,gon echristmas fishing,go ne christmas fishing,gonechristmas fishing,gonechristmasfishing,g one christmas fishing,gon e christmas fishing,g on echristmas fishing
586,598,yehhainayidilli,yehhainayidilli,yehhainayidill i,y ehhainayidilli,yehhainayidil li,ye hhainayidilli,yehhainayi dilli,yeh hainayidilli,yehhainayid illi,yehhainayidil l i,yehhainayidi lli,roman,230458,None,"{""choices"": [""Hashtag has non english token "", ""Hashtag has a mix of english and hindi tokens""]}","[{""start"": 10, ""end"": 15, ""text"": ""dilli"", ""labels"": [""Named Entity""]}]",yeh hai nayi dilli,1,1142,2021-12-16T16:03:14.078177Z,2021-12-16T16:03:14.078250Z,37.397,yeh hai nayi dilli,yeh hai nayi dilli,yeh hainayi dilli,yeh hain ayi dilli,yeh hai nayid illi,yeh hai nay i dilli,yeh hai nayidilli,yeh hainayidilli,yeh hain ayidilli,yeh hainayid illi,yeh hain ayid illi
587,599,shameontiwari,shameontiwari,shameontiwar i,shame on tiwari,s hameontiwari,shameon tiwari,shameontiwa ri,shame ontiwari,shameontiw ari,sh ameontiwari,sha meontiwari,roman,230457,$3,Hashtag has named entities,"[{""start"": 7, ""end"": 13, ""text"": ""tiwari"", ""labels"": [""Named Entity""]}]",shameontiwari,1,1141,2021-12-16T16:02:33.356922Z,2021-12-16T16:02:33.356984Z,6.941,shame on tiwari,shame on tiwari,shame on ti wari,shame on tiwa ri,sham eon tiwari,sh ameon tiwari,shameon tiwari,shameontiwari,shame ontiwari,sham e on tiwari,sha me on tiwari
588,600,engice,engice,eng ice,engi ce,eng i c e,engic e,en gi ce,en gice,e ngice,eng i ce,engi c e,roman,230456,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 3, ""text"": ""eng"", ""labels"": [""Named Entity""]}, {""start"": 3, ""end"": 6, ""text"": ""ice"", ""labels"": [""Named Entity""]}]",engice,1,1140,2021-12-16T16:02:22.679815Z,2021-12-16T16:02:22.679868Z,12.559,eng ice,engice,engi ce,en gice,e ngice,eng i c e,engi c e,eng ice,engic e,eng i ce,e ng ice
589,601,indiaspridesuhani,indiaspridesuhani,in diaspridesuhani,indiaspridesuhan i,i ndiaspridesuhani,indiaspridesuha ni,india spridesuhani,indiaspridesuh ani,ind iaspridesuhani,indiaspridesu hani,indi aspridesuhani,roman,230455,None,Hashtag has named entities,"[{""start"": 0, ""end"": 6, ""text"": ""indias"", ""labels"": [""Named Entity""]}, {""start"": 11, ""end"": 17, ""text"": ""suhani"", ""labels"": [""Named Entity""]}]",indias pride suhani,1,1139,2021-12-16T16:02:07.755005Z,2021-12-16T16:02:07.755057Z,20.472,indias pride suhani,india spridesuhani,indiasprides uhani,india sprides uhani,indias pride suhani,india s pride s uhani,indiaspridesuhani,india s pride suhani,indiaspride suhani,india spridesu hani,indiasprides uh ani
590,602,bujji,bujji,buj ji,bujj i,bu jji,bu j ji,b ujji,bu jj i,buj j i,b u j ji,b uj ji,roman,230454,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""bujji"", ""labels"": [""Named Entity""]}]",bujji,1,1138,2021-12-16T16:01:44.661913Z,2021-12-16T16:01:44.661962Z,5.836,bujji,bujji,bujj i,b uj ji,bu jji,buj ji,b ujji,b ujj i,bu jj i,bu j ji,b u j ji
591,603,btsxrollingstoneindia,btsxrollingstoneindia,btsxrollingstoneindi a,btsxrollingstone india,b tsxrollingstoneindia,btsxrollingstoneind ia,btsxrollingstonein dia,bt sxrollingstoneindia,bts xrollingstoneindia,btsxrollingstoneind i a,btsxrollingsto ne india,roman,230453,None,Hashtag has named entities,"[{""start"": 0, ""end"": 3, ""text"": ""bts"", ""labels"": [""Named Entity""]}, {""start"": 4, ""end"": 11, ""text"": ""rolling"", ""labels"": [""Named Entity""]}, {""start"": 11, ""end"": 16, ""text"": ""stone"", ""labels"": [""Named Entity""]}, {""start"": 16, ""end"": 21, ""text"": ""india"", ""labels"": [""Named Entity""]}]",bts x rolling stone india,1,1137,2021-12-16T16:01:34.973953Z,2021-12-16T16:01:34.974037Z,28.327,bts x rolling stone india,btsx rollingstoneindia,btsxrollingstoneindia,btsx rolling stoneindia,btsx rolling stone india,bts x rolling stone india,bts x rollingstoneindia,btsx rollingstone india,bts x rollingstone india,btsxrollingstone india,bts x rolling stoneindia
592,605,sikhism,sikhism,sikh ism,sikhi sm,sikh is m,sikhis m,s ikhism,si khism,sikhi s m,sikh i sm,sik his m,roman,230451,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""sikhism"", ""labels"": [""Named Entity""]}]",sikhism,1,1135,2021-12-16T16:01:00.123410Z,2021-12-16T16:01:00.123474Z,3.619,sikhism,sikhism,sikhis m,s ikhism,sikh is m,sik his m,sikhi sm,si khism,sikh ism,sik hism,sikh i sm
593,606,varunchakravarthy,varun chakravarthy,varunchakravarthy,varunchakravarth y,v arunchakravarthy,va runchakravarthy,varunchakravar thy,var unchakravarthy,varunchakravart hy,varu nchakravarthy,va run chakravarthy,roman,230450,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""varun"", ""labels"": [""Named Entity""]}, {""start"": 5, ""end"": 17, ""text"": ""chakravarthy"", ""labels"": [""Named Entity""]}]",varunchakravarthy,1,1134,2021-12-16T16:00:53.903502Z,2021-12-16T16:00:53.903567Z,17.567,varun chakravarthy,var unchakravarthy,varun chakravarthy,var u n chakravarthy,va runchakravarthy,va run chakravarthy,varunchakravarthy,v a run chakravarthy,v arun chakravarthy,var un chakravarthy,v arunchakravarthy
594,607,cbifile302injiahkhancase,cbifile302injiahkhancase,cbifile302injiahkhanca se,cbifile302injiahkhancas e,cbifile302injiahkhan case,c bifile302injiahkhancase,cb ifile302injiahkhancase,cbifile302injiahkhanc ase,cbi file302injiahkhancase,cbifile302injiahkhanc as e,cbifile302injiahkhanc a se,roman,230449,None,Hashtag has named entities,"[{""start"": 12, ""end"": 16, ""text"": ""jiah"", ""labels"": [""Named Entity""]}, {""start"": 16, ""end"": 20, ""text"": ""khan"", ""labels"": [""Named Entity""]}]",cbi file 302 in jiah khan case,1,1133,2021-12-16T16:00:33.991145Z,2021-12-16T16:00:33.991204Z,29.695,cbi file 302 in jiah khan case,cbi file 302 in jiah khan case,cbifile302 injiah khan case,cbifile302 injiahkhan case,cbi file 3 02 in jiahkhan case,cb i file 302 in jiahkhan case,cbi file 302 in jiahkhan case,cbifile302 in jiahkhan case,cbifile 302 in jiahkhan case,cbifile 302 injiah khan case,cbifile302injiahkhan case
595,608,happybirthdayathiyashetty,happybirthdayathiyashetty,happybirthdayathiyashett y,ha ppybirthdayathiyashetty,h appybirthdayathiyashetty,happy birthdayathiyashetty,happybirthdayathiya shetty,happybirthdayathiyashet ty,hap pybirthdayathiyashetty,happybirthday athiya shetty,happybirthdayathiyash etty,roman,230448,None,Hashtag has named entities,"[{""start"": 13, ""end"": 19, ""text"": ""athiya"", ""labels"": [""Named Entity""]}, {""start"": 19, ""end"": 25, ""text"": ""shetty"", ""labels"": [""Named Entity""]}]",happy birthday athiya shetty,1,1132,2021-12-16T16:00:01.760495Z,2021-12-16T16:00:01.760558Z,29.784,happy birthday athiya shetty,happy birthday athiya shetty,happy birthday at hiya shetty,happy birthdayathiya shetty,happybirthday athiyashetty,happy birthday athiyash etty,happy birthday athiyashetty,happy birthdayathiyashetty,happybirthday athiya shetty,happy birthdayathi ya shetty,happy birthday at hiyashetty
596,609,jinrewind,jinrewind,jin rewind,jinrewin d,j in rewind,jinre wind,ji nrewind,j inrewind,jinrew ind,ji n rewind,jinrewi nd,roman,230447,$2,Hashtag has named entities,"[{""start"": 0, ""end"": 3, ""text"": ""jin"", ""labels"": [""Named Entity""]}]",jinrewind,1,1131,2021-12-16T15:59:29.506285Z,2021-12-16T15:59:29.506348Z,17.276,jin rewind,jin rewind,jinrewind,jinre wind,jin r ewind,j in rewind,jin re wind,jinr ewind,ji n rewind,j i n rewind,jin r e wind
597,610,rangde,rang de,rangde,ran gde,rang d e,rangd e,ran g de,r angde,r ang de,ra ngde,ra ng de,roman,230446,$1,None,None,rangde,1,1130,2021-12-16T15:58:45.674399Z,2021-12-16T15:58:45.674446Z,5.433,rang de,rangde,ran gde,ra ng de,rang d e,ra ngde,rang de,r angde,rangd e,r ang de,ran g de
598,611,dhonismcdpfest,dhonismcdpfest,dhonismcdpfes t,dhonismcdpfe st,d honismcdpfest,dhonismcdpf est,dhonismcdp fest,dhoni smcdpfest,dho nismcdpfest,dh onismcdpfest,dhonis mcdpfest,roman,230445,None,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""dhonism"", ""labels"": [""Named Entity""]}]",dhonism cdp fest,1,1129,2021-12-16T15:58:38.183958Z,2021-12-16T15:58:38.184022Z,33.611,dhonism cdp fest,dhonismcdpfest,dhonism cdp fest,d honismcd p fest,dhon is mcdpfest,dhonis mcd pfest,dhonism cdpfest,dhonismcd pfest,d honismcd pfest,d honismcdpfest,dhonismcdp fest
599,612,roopa,roopa,roop a,roo pa,ro o pa,ro opa,r oopa,ro o p a,roo p a,r o o pa,r o o p a,roman,230444,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""roopa"", ""labels"": [""Named Entity""]}]",roopa,1,1128,2021-12-16T15:58:01.856427Z,2021-12-16T15:58:01.856456Z,4.452,roopa,roopa,roo pa,ro op a,roop a,ro opa,r oopa,ro o pa,r oo pa,r o o pa,r oop a
600,613,boycottantim,boycottantim,boycott antim,boycottanti m,boycott anti m,boycottant im,boycottan tim,b oycottantim,boy cottantim,bo ycottantim,boycottant i m,roman,230443,$2,Hashtag has named entities,"[{""start"": 7, ""end"": 12, ""text"": ""antim"", ""labels"": [""Named Entity""]}]",boycottantim,1,1127,2021-12-16T15:57:54.776984Z,2021-12-16T15:57:54.777052Z,6.635,boycott antim,boycott antim,boycottanti m,boycottant im,boycott ant im,boycott an tim,boycottantim,boycott anti m,boycottant i m,boycottan tim,boycot tantim
601,614,kaagaz,kaagaz,kaa gaz,kaaga z,kaag az,kaa ga z,ka agaz,k aagaz,kaag a z,ka a gaz,k aa gaz,roman,230442,$1,Hashtag has non english token ,None,kaagaz,1,1126,2021-12-16T15:57:45.859564Z,2021-12-16T15:57:45.859599Z,4.287,kaagaz,kaagaz,ka a gaz,ka a ga z,ka agaz,kaa gaz,kaaga z,k aagaz,kaag az,kaag a z,k aa gaz
602,615,chatrapathi,chatrapathi,chatrapath i,chatrapat hi,chatra pathi,chatrapa thi,c hatrapathi,chatra path i,chat rapathi,ch atrapathi,cha trapathi,roman,230441,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 11, ""text"": ""chatrapathi"", ""labels"": [""Named Entity""]}]",chatrapathi,1,1125,2021-12-16T15:57:39.651962Z,2021-12-16T15:57:39.652017Z,26.257,chatrapathi,chatrapathi,c hatrapathi,chatrapa thi,chat rapa thi,chat rapat hi,chat rapathi,chat rap at hi,chatrap at hi,chatrapath i,c hat rapathi
603,616,bigil,bigil,big il,bi gil,big i l,bigi l,b igil,b i gil,b i g i l,b i g il,bi g il,roman,230440,$1,Hashtag has named entities,"[{""start"": 0, ""end"": 5, ""text"": ""bigil"", ""labels"": [""Named Entity""]}]",bigil,1,1124,2021-12-16T15:57:11.377623Z,2021-12-16T15:57:11.377690Z,4.434,bigil,bigil,bigi l,bi gil,b igil,bi g il,big i l,big il,bi gi l,b ig i l,bi g i l
604,617,ayalaanupdate,ayalaanupdate,ayalaanupdat e,a yalaanupdate,ayalaanup date,ayalaan update,ayalaanupda te,ayala an update,ayalaanupd ate,ay alaanupdate,aya laanupdate,roman,230439,$5,Hashtag has named entities,"[{""start"": 0, ""end"": 7, ""text"": ""ayalaan"", ""labels"": [""Named Entity""]}]",ayalaanupdate,1,1123,2021-12-16T15:57:04.965013Z,2021-12-16T15:57:04.965083Z,18.486,ayalaan update,ayala an update,ayalaanupdate,ayala anupdate,aya la an update,ay a la an update,aya laan update,ayalaan update,ay alaan update,ay ala an update,ay alaanupdate
